,,Precision,Recall,AUC,Accuracy,Fmeasure,Gmean
prop-6.csv,Accuracy_RF,0.425531915,0.303030303,0.718064483,0.889393939,0.353982301,0.359094786
prop-6.csv,FMeasure_RF,0.442307692,0.348484848,0.674739822,0.890909091,0.389830508,0.392603527
prop-6.csv,GMean_RF,0.37037037,0.303030303,0.698334354,0.878787879,0.333333333,0.335012605
prop-6.csv,Accuracy_Ada,0.157894737,0.045454545,0.723229772,0.88030303,0.070588235,0.084717374
prop-6.csv,FMeasure_Ada,0.129032258,0.060606061,0.660455566,0.865151515,0.082474227,0.088431538
prop-6.csv,GMean_Ada,0.227272727,0.075757576,0.692505867,0.881818182,0.113636364,0.13121597
redaktor.csv,Accuracy_Voting,0.5,0.518518519,0.768580661,0.846590909,0.509090909,0.509175077
redaktor.csv,FMeasure_Voting,0.470588235,0.592592593,0.76460353,0.835227273,0.524590164,0.52807869
redaktor.csv,GMean_Voting,0.736842105,0.518518519,0.738255034,0.897727273,0.608695652,0.6181151
redaktor.csv,Accuracy_RF,0.75,0.444444444,0.781009197,0.892045455,0.558139535,0.577350269
redaktor.csv,FMeasure_RF,0.642857143,0.333333333,0.792816306,0.869318182,0.43902439,0.46291005
redaktor.csv,GMean_RF,0.7,0.518518519,0.739995029,0.892045455,0.595744681,0.602464076
redaktor.csv,Accuracy_Ada,0.5,0.37037037,0.637583893,0.846590909,0.425531915,0.430331483
redaktor.csv,FMeasure_Ada,0.5,0.407407407,0.746706438,0.846590909,0.448979592,0.451335467
redaktor.csv,GMean_Ada,0.473684211,0.333333333,0.652498136,0.840909091,0.391304348,0.397359707
serapion.csv,Accuracy_Voting,0.833333333,0.555555556,0.87654321,0.888888889,0.666666667,0.680413817
serapion.csv,FMeasure_Voting,0.75,0.666666667,0.694444444,0.888888889,0.705882353,0.707106781
serapion.csv,GMean_Voting,0.75,0.666666667,0.824074074,0.888888889,0.705882353,0.707106781
serapion.csv,Accuracy_RF,1,0.222222222,0.766975309,0.844444444,0.363636364,0.471404521
serapion.csv,FMeasure_RF,0.8,0.444444444,0.723765432,0.866666667,0.571428571,0.596284794
serapion.csv,GMean_RF,0.6,0.333333333,0.807098765,0.822222222,0.428571429,0.447213596
serapion.csv,Accuracy_Ada,0.5,0.555555556,0.521604938,0.8,0.526315789,0.527046277
serapion.csv,FMeasure_Ada,0.444444444,0.444444444,0.691358025,0.777777778,0.444444444,0.444444444
serapion.csv,GMean_Ada,0.5,0.444444444,0.811728395,0.8,0.470588235,0.471404521
sklebagd.csv,Accuracy_Voting,0.636363636,0.583333333,0.760416667,0.55,0.608695652,0.609271796
sklebagd.csv,FMeasure_Voting,0.666666667,0.833333333,0.739583333,0.65,0.740740741,0.745355993
sklebagd.csv,GMean_Voting,0.785714286,0.916666667,0.864583333,0.8,0.846153846,0.848668425
sklebagd.csv,Accuracy_RF,0.666666667,0.833333333,0.723958333,0.65,0.740740741,0.745355993
sklebagd.csv,FMeasure_RF,0.916666667,0.916666667,0.869791667,0.9,0.916666667,0.916666667
sklebagd.csv,GMean_RF,0.714285714,0.833333333,0.822916667,0.7,0.769230769,0.77151675
sklebagd.csv,Accuracy_Ada,0.714285714,0.833333333,0.583333333,0.7,0.769230769,0.77151675
sklebagd.csv,FMeasure_Ada,0.692307692,0.75,0.760416667,0.65,0.72,0.720576692
sklebagd.csv,GMean_Ada,0.785714286,0.916666667,0.90625,0.8,0.846153846,0.848668425
synapse-1.2.csv,Accuracy_Voting,0.768211921,0.674418605,0.80619015,0.733918129,0.718266254,0.719789144
synapse-1.2.csv,FMeasure_Voting,0.751552795,0.703488372,0.799863201,0.733918129,0.726726727,0.727123547
synapse-1.2.csv,GMean_Voting,0.769230769,0.697674419,0.805745554,0.742690058,0.731707317,0.732579436
synapse-1.2.csv,Accuracy_RF,0.827160494,0.779069767,0.881361149,0.807017544,0.80239521,0.802755089
synapse-1.2.csv,FMeasure_RF,0.820359281,0.796511628,0.871751026,0.80994152,0.808259587,0.808347516
synapse-1.2.csv,GMean_RF,0.820359281,0.796511628,0.880198358,0.80994152,0.808259587,0.808347516
synapse-1.2.csv,Accuracy_Ada,0.770588235,0.761627907,0.820519836,0.766081871,0.766081871,0.766094971
synapse-1.2.csv,FMeasure_Ada,0.762195122,0.726744186,0.813064295,0.748538012,0.744047619,0.744258607
synapse-1.2.csv,GMean_Ada,0.762195122,0.726744186,0.813064295,0.748538012,0.744047619,0.744258607
systemdata.csv,Accuracy_Voting,0.5,0.333333333,0.652777778,0.861538462,0.4,0.40824829
systemdata.csv,FMeasure_Voting,0.5,0.333333333,0.678571429,0.861538462,0.4,0.40824829
systemdata.csv,GMean_Voting,0.5,0.333333333,0.702380952,0.861538462,0.4,0.40824829
systemdata.csv,Accuracy_RF,0,0,0.69047619,0.830769231,nan,0
systemdata.csv,FMeasure_RF,0.75,0.333333333,0.632936508,0.892307692,0.461538462,0.5
systemdata.csv,GMean_RF,0.5,0.111111111,0.618055556,0.861538462,0.181818182,0.23570226
systemdata.csv,Accuracy_Ada,0.333333333,0.111111111,0.472222222,0.846153846,0.166666667,0.19245009
systemdata.csv,FMeasure_Ada,0.5,0.333333333,0.553571429,0.861538462,0.4,0.40824829
systemdata.csv,GMean_Ada,0.222222222,0.222222222,0.654761905,0.784615385,0.222222222,0.222222222
szybkafucha.csv,Accuracy_Voting,0.727272727,0.571428571,0.818181818,0.64,0.64,0.644658371
szybkafucha.csv,FMeasure_Voting,0.636363636,0.5,0.701298701,0.56,0.56,0.564076075
szybkafucha.csv,GMean_Voting,0.75,0.642857143,0.75974026,0.68,0.692307692,0.694365075
szybkafucha.csv,Accuracy_RF,0.666666667,0.571428571,0.704545455,0.6,0.615384615,0.6172134
szybkafucha.csv,FMeasure_RF,0.6,0.642857143,0.590909091,0.56,0.620689655,0.621059003
szybkafucha.csv,GMean_RF,0.714285714,0.714285714,0.720779221,0.68,0.714285714,0.714285714
szybkafucha.csv,Accuracy_Ada,0.785714286,0.785714286,0.688311688,0.76,0.785714286,0.785714286
szybkafucha.csv,FMeasure_Ada,0.642857143,0.642857143,0.688311688,0.6,0.642857143,0.642857143
szybkafucha.csv,GMean_Ada,0.533333333,0.571428571,0.512987013,0.48,0.551724138,0.552052447
termoproject.csv,Accuracy_Voting,0.791666667,0.730769231,0.847480106,0.781818182,0.76,0.760608731
termoproject.csv,FMeasure_Voting,0.814814815,0.846153846,0.876657825,0.836363636,0.830188679,0.830336492
termoproject.csv,GMean_Voting,0.875,0.807692308,0.877984085,0.854545455,0.84,0.840672807
termoproject.csv,Accuracy_RF,0.818181818,0.692307692,0.889920424,0.781818182,0.75,0.752617809
termoproject.csv,FMeasure_RF,0.869565217,0.769230769,0.907161804,0.836363636,0.816326531,0.81786082
